"","Astro","CA1","CA2","CA3","CTX-Ex","DG","Endo","Inh","LHb","Micro","Oligo","OPC","SMC"
"Astro",0,0,0,0,0,0,4.9515112737674e-05,0,0,0,0,0,1.10589452666117e-05
"CA1",1.95021975430777e-05,0,3.47833648564153e-05,1.52176890417421e-05,1.86299617386207e-05,5.07238290404066e-05,0,6.67362241333e-05,0,0,0,0,0
"CA2",1.67162158944872e-05,1.73917580458621e-05,5.96285143580494e-05,5.2438409736311e-05,2.40181133257064e-05,7.82604914966713e-05,2.63513707587799e-07,6.62129822937266e-05,2.14839442593481e-05,1.33783738586575e-06,0,1.46090774845768e-05,4.13271757563857e-06
"CA3",0,7.60856663988546e-05,5.21743667336238e-05,6.84780375795453e-05,0,0,0,2.9335664540809e-06,0,5.85301213563537e-06,0,0,0
"CTX-Ex",0,0,5.71493618523522e-06,0,0,0,0,2.51079136405921e-05,1.90552135278922e-06,0,0,0,0
"DG",1.77295848263122e-06,0,3.47826086956522e-05,6.0870293017897e-05,2.35729882450635e-06,2.02903549797604e-05,9.71393088353736e-05,0.000192358006534093,1.79032180679718e-05,0,0,2.55657790974169e-05,2.16963665818098e-05
"Endo",0,0,0,0,0,0,0,0,0,0,0,0,0
"Inh",0,1.27119969960573e-05,1.13747197841977e-05,9.53402804617698e-06,0,0,1.05340903832955e-05,2.67608249094409e-05,0,0,0,0,2.3526635724203e-06
"LHb",0,0,8.680821343174e-06,0,0,0,1.71436024090451e-05,3.33035959255725e-05,2.5275375212945e-06,0,0,0,3.82883898540873e-06
"Micro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo",0,0,0,0,0,0,0,0,0,0,0,0,0
"OPC",0,0,0,0,0,0,5.82858500400992e-05,0,0,0,0,0,1.30179329258238e-05
"SMC",0,0,0,0,0,0,0,0,0,0,0,0,0
